epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,val_wall_s,test_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,val_score_path,test_score_path
1,0.1332288384437561,0.8816238309188261,,0.4778543882521092,0.5567457395102877,222.505708,15.24616,579.888654,222.505708,817.640522,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_1.pkl
2,0.13367724418640137,0.8771070149090845,,0.4654857935792894,0.5472616018649283,224.72305,17.404729,590.074125,447.228757,1649.842425,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_2.pkl
3,0.13351041078567505,0.8848808176268864,,0.49275308292431225,0.5685225383811806,227.686866,17.983137,641.045382,674.915624,2536.55781,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_3.pkl
4,0.13630247116088867,0.8968659956941859,,0.5158577344501099,0.599854031764834,229.224625,16.029908,600.970948,904.140248,3382.783291,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_4.pkl
5,0.1310928463935852,0.880207394488504,,0.475643994069928,0.5598357556750218,227.225665,17.371899,573.098483,1131.365913,4200.479338,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_5.pkl
