epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,hybrid_eval_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,best_yita,val_score_path,test_score_path,hit_at_10
1,0.1332288384437561,0.9602055441574718,,0.6615475956274441,0.7504868266936361,222.505708,181.371093,222.505708,999.011615,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_1.pkl,0.8923490655717308
2,0.13367724418640137,0.9597485727065189,,0.6590951313619988,0.7488888366567296,224.72305,181.686514,447.228757,2012.900032,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_2.pkl,0.8920716187632202
3,0.13351041078567505,0.9583433516879685,,0.6419002863172464,0.7466699224780562,227.686866,188.720047,674.915624,3088.335464,0.005,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_3.pkl,0.8888452357844966
4,0.13630247116088867,0.9590611914857938,,0.665023177215778,0.7516336421204651,229.224625,185.185199,904.140248,4119.746144,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_4.pkl,0.8898589971382357
5,0.1310928463935852,0.9594964245084056,,0.6664058149633706,0.7529490731744145,227.225665,183.534378,1131.365913,5120.976569,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_5.pkl,0.8911841035212144
