epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,hybrid_eval_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,best_yita,val_score_path,test_score_path,hit_at_10
1,0.6533670425415039,0.8291260044848549,,0.3092137468786129,0.42589546177694776,36.788558,63.46559,36.788558,164.731308,1e-06,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_1.pkl,0.586430816047696
2,0.6469288468360901,0.8295957753526912,,0.30909902565241953,0.4259705614376917,36.340269,62.271783,73.128828,327.093742,1e-06,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_2.pkl,0.5865803005837784
3,0.6377323269844055,0.8299394128369191,,0.30891552090529856,0.4259094162967128,37.284119,62.594701,110.412946,490.723024,1e-06,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_3.pkl,0.5865803005837784
4,0.638420581817627,0.8301229128244665,,0.3089640540163272,0.42589606572253763,36.941328,62.500607,147.354275,654.484483,1e-06,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_4.pkl,0.5865493727487269
5,0.6315780282020569,0.8302615260047972,,0.30901758857600514,0.4258500058936503,36.761888,62.09973,184.116162,817.769891,1e-06,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_5.pkl,0.5865699913054278
