epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,val_wall_s,test_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,val_score_path,test_score_path
1,0.13164328038692474,0.9046080395616901,,0.5417768518409729,0.6214086376733646,218.470932,15.667629,449.523726,218.470932,683.662287,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_1.pkl
2,0.13558484613895416,0.8928439231913731,,0.5076816384227051,0.5988943272853312,224.78922,15.359167,494.270462,443.260152,1418.081136,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_2.pkl
3,0.13369235396385193,0.8947381279918266,,0.5150045381207812,0.6100231312877323,221.744777,15.072193,499.109958,665.004928,2154.008063,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_3.pkl
4,0.1345221847295761,0.907332403369826,,0.5627919820614957,0.6365881696623558,225.964376,16.27366,492.017441,890.969304,2888.26354,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_4.pkl
5,0.1286066770553589,0.8821003610213858,,0.48762805013288574,0.5581532730116714,222.357955,16.865757,476.532305,1113.327259,3604.019556,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_5.pkl
