epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,val_wall_s,test_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,val_score_path,test_score_path
1,0.6533670425415039,0.7055836494383491,,0.10449575629659481,0.23701672154159015,38.704563,2.231741,55.940148,38.704563,96.876452,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_1.pkl
2,0.6469288468360901,0.7132237751609397,,0.10724354692489714,0.241635259029816,36.584673,2.487183,58.499331,75.289236,194.447639,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_2.pkl
3,0.6377323269844055,0.7152245227490773,,0.1063682886653567,0.24166306562049952,39.258034,2.249805,59.993978,114.54727,295.949456,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_3.pkl
4,0.638420581817627,0.7167628218755456,,0.10936542207540086,0.24593940011605797,36.892305,2.280628,59.690014,151.439575,394.812404,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_4.pkl
5,0.6315780282020569,0.7188120453962532,,0.11297671029015989,0.24766123323324418,36.84269,2.598656,58.953891,188.282265,493.20764,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed42_lastfm/tta/workspace/time_epoch_scores/lastfm/topk_20_flag_last_lr_0.0001_wd_5e-05_bs_200/test_epoch_5.pkl
