epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,hybrid_eval_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,best_yita,val_score_path,test_score_path,hit_at_10
1,0.13164328038692474,0.9570221704956927,,0.6615759966139303,0.740244056156821,218.470932,182.290431,218.470932,865.952718,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_1.pkl,0.8801788528057733
2,0.13558484613895416,0.9568922710265878,,0.6615908437796975,0.7406050933978435,224.78922,182.723394,443.260152,1783.09496,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_2.pkl,0.880548214507901
3,0.13369235396385193,0.9559316446843246,,0.6603307807575298,0.7385937733004693,221.744777,183.333463,665.004928,2702.355351,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_3.pkl,0.8784231081249222
4,0.1345221847295761,0.9573588148248401,,0.6634895845446162,0.7411082079515733,225.964376,183.442389,890.969304,3620.053216,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_4.pkl,0.8806606992658953
5,0.1286066770553589,0.9564058252022886,,0.6626214997969571,0.7399548532872573,222.357955,182.517258,1113.327259,4518.326491,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed44_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_5.pkl,0.8790316187632202
