epoch,train_loss,val_ap,val_auc,test_ap,test_auc,train_wall_s,hybrid_eval_wall_s,cumulative_train_wall_s,cumulative_epoch_wall_s,best_yita,val_score_path,test_score_path,hit_at_10
1,0.1332288384437561,0.9602048195161466,,0.6615477511153537,0.7505648751700491,222.109267,180.037752,222.109267,968.679127,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_1.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_1.pkl,0.8921524698270499
2,0.13367724418640137,0.959747896315517,,0.6590947065934915,0.7489510631454515,228.062324,182.197899,450.171591,2031.06195,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_2.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_2.pkl,0.8917958740823692
3,0.13351041078567505,0.9583426338662498,,0.6419005336229012,0.7467271377173128,255.015007,183.501682,705.186598,3130.875662,0.005,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_3.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_3.pkl,0.8886256613164116
4,0.13630247116088867,0.9590604082201852,,0.6650234522531332,0.7517026143150396,236.392153,182.981472,941.578751,4192.954782,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_4.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_4.pkl,0.8896462311807889
5,0.1310928463935852,0.959495538964236,,0.6664059986772604,0.7530476796681854,241.586505,182.34028,1183.165256,5245.957778,0.008,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/val_epoch_5.pkl,/home/wzq/TGN-benchmark/systems/EAGLE/reports/fair_eagle_e5_bs200_seed43_wiki_talk/tta/workspace/time_epoch_scores/wikitalk/topk_30_flag_last_lr_0.001_wd_0.0_bs_200/test_epoch_5.pkl,0.8908760184148313
